date,Fe_x,Fe_y,Fe_z,N1_x,N1_y,N1_z,N2_x,N2_y,N2_z,N3_x,N3_y,N3_z,N4_x,N4_y,N4_z,O1_x,O1_y,O1_z,O2_x,O2_y,O2_z,O3_x,O3_y,O3_z,O4_x,O4_y,O4_z
2024-01-01 0:00,0,0,0,-0.396863753,-1.929886318,-1.08801365,-1.86847137,0.571497674,-0.897820247,1.889530948,-0.570840449,-0.906487176,0.38605357,1.87383919,-1.20259577,-1.063208151,3.584820083,2.596469452,1.2530528,-0.629906433,2.576926232,0.31897283,1.547321097,1.392044017,-0.459068672,-1.479058776,1.35913986
2024-01-01 0:00,0,0,0,-0.403638386,-1.928352218,-1.091075637,-1.884297437,0.573077666,-0.869250063,1.902525198,-0.57933219,-0.880190768,0.388004732,1.871978297,-1.21166511,-1.070762373,3.592902068,2.588729053,1.241883859,-0.644275941,2.568933944,0.313031738,1.546417513,1.372930667,-0.468640615,-1.473253978,1.340640128
2024-01-01 0:00,0,0,0,-0.409364523,-1.926261126,-1.094481725,-1.900305127,0.573894401,-0.840638181,1.915734403,-0.589323304,-0.852018249,0.389456004,1.86895537,-1.220727669,-1.077279423,3.601470357,2.581146295,1.230947715,-0.659160435,2.560206331,0.308338928,1.543786702,1.354388898,-0.479952397,-1.466190553,1.323098455
2024-01-01 0:00,0,0,0,-0.413964171,-1.92387655,-1.098218352,-1.916180874,0.573710835,-0.813012155,1.928824485,-0.600398114,-0.82246187,0.390571061,1.865003941,-1.229693949,-1.082862505,3.610690257,2.574138169,1.220873745,-0.674604388,2.551253612,0.304758076,1.539498486,1.336538042,-0.492770366,-1.458006854,1.306476191
2024-01-01 0:00,0,0,0,-0.417467459,-1.921442135,-1.102275011,-1.931727136,0.572399716,-0.787367674,1.941395873,-0.61200333,-0.792428835,0.391556738,1.860417368,-1.238464616,-1.087676468,3.620607722,2.567907744,1.212153292,-0.690489554,2.542582616,0.302071877,1.533723851,1.319416069,-0.506755847,-1.448928762,1.290545857
2024-01-01 0:00,0,0,0,-0.420324277,-1.919765733,-1.107169376,-1.947603203,0.57015849,-0.764858407,1.953461924,-0.62362187,-0.763730503,0.392565171,1.856230435,-1.247517344,-1.092084771,3.631165635,2.562259747,1.204924174,-0.706544038,2.534497098,0.299842618,1.527238944,1.303113158,-0.521772091,-1.439533252,1.27493691
2024-01-01 0:00,0,0,0,-0.422380994,-1.918275674,-1.112251217,-1.963170084,0.566812533,-0.745640641,1.964478195,-0.634476783,-0.737934143,0.393894756,1.851887076,-1.256103926,-1.096017116,3.64197848,2.557037215,1.199560322,-0.722459552,2.527487955,0.297714641,1.519991891,1.287086883,-0.53701547,-1.42998514,1.258530938
2024-01-01 0:00,0,0,0,-0.423796048,-1.917109693,-1.117518499,-1.978342203,0.562405703,-0.729792688,1.97445099,-0.644097001,-0.71678738,0.395683953,1.847664491,-1.264160288,-1.099640489,3.652575684,2.551828243,1.196018893,-0.737896658,2.521776562,0.295150663,1.512673594,1.27080499,-0.55201836,-1.420747106,1.240313267
2024-01-01 0:00,0,0,0,-0.424688671,-1.916327747,-1.122970545,-1.993023941,0.557096954,-0.717139617,1.983664069,-0.652147713,-0.701046895,0.398050497,1.843890336,-1.271657953,-1.103119952,3.662504561,2.546242626,1.194156833,-0.7524192,2.517549379,0.291633593,1.506249753,1.253714885,-0.566564201,-1.412093942,1.219568915
2024-01-01 0:00,0,0,0,-0.425173283,-1.916035619,-1.128627017,-2.006995641,0.550983868,-0.707301729,1.992310484,-0.658440973,-0.690020419,0.401067464,1.840784324,-1.278574206,-1.106577194,3.671319455,2.539983045,1.193724144,-0.765596883,2.514943707,0.286923582,1.501462219,1.235405341,-0.580774361,-1.404040825,1.196454506
