date,Fe-O163_dist,Fe-O164_dist,Fe-O165_dist,Fe-O166_dist,Fe-O167_dist,Fe-O168_dist,Fe-O169_dist,Fe-O170_dist,Fe-O171_dist,Fe-O172_dist,Fe-O173_dist,Fe-O174_dist,Fe-O175_dist,Fe-O176_dist,Fe-O177_dist,Fe-O178_dist,Fe-O179_dist,Fe-O180_dist,Fe-O181_dist,Fe-O182_dist,Fe-O183_dist,Fe-O184_dist,Fe-O185_dist,Fe-O186_dist,Fe-O187_dist,Fe-O188_dist,Fe-O189_dist,Fe-O190_dist,Fe-O191_dist,Fe-O192_dist,Fe-O193_dist,Fe-O194_dist
2024-01-01 00:00:00,8.99695225056802,6.829547123138738,7.349721665845019,7.327689843065391,7.736972046490665,6.748435428240223,6.645985804001543,4.4271975744658905,4.807414699919645,3.014179771415632,5.865698102699519,6.438592067414023,5.550034791411641,5.239955328540284,8.14067738033587,10.123412562296426,9.41478395875852,12.96900211664895,10.338424119215189,9.660047099056928,9.791735915587797,13.717290872587148,8.37895134871332,6.960937105566633,12.070735774965287,9.482813772855025,8.494373465555805,14.34516905927568,7.749851489737963,11.969709891961946,2.1633659828547014,2.1631367422358543
2024-01-01 00:00:01,9.004656630004474,6.83267282487912,7.354024031309183,7.32938962306936,7.744919832264935,6.746261921879947,6.64729625656192,4.431306805477117,4.805435728762683,3.009866275783301,5.869823155937677,6.443737233544901,5.55436664901072,5.244600641512169,8.146864829475106,10.12606769061839,9.411417741851391,12.9774262929481,10.338548269263594,9.660908285004773,9.79429809777719,13.72712494463994,8.37923345818623,6.967107871522938,12.079515000869128,9.487449016031428,8.499508702401334,14.347739555192833,7.756502479838266,11.974394152273147,2.168876868886166,2.1646781023639545
2024-01-01 00:00:02,9.01209984425624,6.835106837201168,7.358225671173859,7.330346707603909,7.752137845006065,6.743722178284129,6.648569087849888,4.436247957958901,4.806065072880292,3.004272896993606,5.873506594227521,6.44906392304504,5.558101552148884,5.24845500067816,8.151553865843177,10.128007556420958,9.407988118848976,12.98542432955819,10.338281358816594,9.661631498777057,9.797013637531414,13.736516862773172,8.37915545900741,6.9732402904909865,12.087005707720447,9.49161357170613,8.50447768923548,14.349844534999544,7.76266281873193,11.978114292350174,2.1738081060777183,2.165901404193718
2024-01-01 00:00:03,9.019370181513809,6.836715637262972,7.362246735153113,7.330408852457378,7.757971559017655,6.740993726653928,6.649835109321651,4.442665359353549,4.809383587933022,2.998008034096109,5.876471995974495,6.454140221232531,5.561264826574082,5.251623730820443,8.155517003191386,10.129321895433534,9.404727740278604,12.992760438607188,10.337754923268156,9.662431404035347,9.79982916479934,13.745308974802482,8.378796331867033,6.979344982728216,12.093164787981031,9.49540610291464,8.50954038850264,14.351411421402824,7.768161176494708,11.981026212393504,2.1780373925182874,2.1667011161551315
2024-01-01 00:00:04,9.026537826362118,6.837452213852837,7.366011666712373,7.329552697994468,7.761966644945075,6.738299967136321,6.65111312321506,4.451028964898436,4.815318122609425,2.991552488635408,5.878569102659863,6.458460307842263,5.56397245087514,5.254307948870953,8.159510609327965,10.130139957256658,9.401784934656646,12.99922917925134,10.33710030240634,9.663412981836194,9.802617678266648,13.753383628094348,8.378236109163984,6.985327010727176,12.098142272305076,9.498946197731785,8.514873839760149,14.352385065996808,7.77285118554057,11.983440424090997,2.181365845449045,2.1668589692803475
2024-01-01 00:00:05,9.033645455823685,6.837350739225827,7.369463088721885,7.327907439142069,7.764022656613754,6.735875621074826,6.652412902110869,4.461422397650084,4.823621599285135,2.985266818844375,5.879795854971061,6.461532981642087,5.566413762770165,5.256722301908416,8.164143492737214,10.13062134103394,9.399160334534724,13.004698693034744,10.336431102300864,9.66459514432756,9.805213876368969,13.760669092403454,8.377538137814222,6.9910126884176,12.10220225937255,9.50234601915782,8.520518971485494,14.352735048564629,7.776636293558849,11.985737301140905,2.1834864525796065,2.165990468314239
2024-01-01 00:00:06,9.040708835060885,6.836519051674998,7.372577067312752,7.325731478187795,7.764422600913032,6.733926623555919,6.6537394490949895,4.473450692560734,4.833897514510218,2.9793870989907947,5.880283508163136,6.463008253075222,5.568817954526414,5.259020517084088,8.169836775843386,10.130936619238314,9.396690040625591,13.009147447375785,10.33583604222553,9.665923475065403,9.807463483432375,13.767148057684974,8.376744479941948,6.996199039807873,12.105624527475,9.505698406535316,8.526403866577187,14.352463667005171,7.779496213184277,11.988246544739438,2.183973377778321,2.1635226819102398
2024-01-01 00:00:07,9.047711374398611,6.835119939929149,7.375362551795225,7.323342812820032,7.763696322824765,6.732574942343501,6.655093031012757,4.486351878688588,4.845671823571647,2.9740653520599296,5.880250537009385,6.462796768587216,5.571399565003798,5.261265981272863,8.176811638232307,10.131227648697353,9.394075300895643,13.012676225469782,10.33536561388838,9.66724921807324,9.809256663820792,13.77285045744784,8.375861752717464,7.000693327195393,12.108632506057694,9.50906931123417,8.532399735262327,14.35160030019556,7.781497392942305,11.99115458743649,2.1823611211064327,2.158809152496558
2024-01-01 00:00:08,9.054610942160542,6.83335450616769,7.377855962131963,7.321038963934531,7.762444104734711,6.731833371442527,6.656478590896855,4.499239493579862,4.858450193803535,2.9693419892181177,5.879959754648433,6.461088076729671,5.574325307824456,5.263451678172561,8.185105804779267,10.131582195291717,9.390963548912596,13.015482958095197,10.335029324975665,9.668304775968956,9.810542841942658,13.77785156304718,8.374862212312967,7.004343037191722,12.111380256067358,9.512498400947775,8.538370248801948,14.350202845338316,7.782786521928671,11.99449636996945,2.1783630581290145,2.1514636812449752
2024-01-01 00:00:09,9.061346262039702,6.831436306613615,7.380109623130735,7.31903631983815,7.761216398529485,6.7315949793305565,6.657915885617327,4.511295565763086,4.871765158255884,2.96514301212687,5.879684379718824,6.458287808505016,5.577690722705031,5.265528687164104,8.19456067431799,10.13201722354106,9.387054840139342,13.017817254883653,10.334788362519634,9.668688824342942,9.811338042407671,13.782264444229302,8.373689276660153,7.00705881147596,12.113959334289552,9.516001031247358,8.544193358158731,14.34835271249016,7.783563363250948,11.99818082152627,2.172083705181368,2.141650860541379
