date,Fe-O163_dist,Fe-O164_dist,Fe-O165_dist,Fe-O166_dist,Fe-O167_dist,Fe-O168_dist,Fe-O169_dist,Fe-O170_dist,Fe-O171_dist,Fe-O172_dist,Fe-O173_dist,Fe-O174_dist,Fe-O175_dist,Fe-O176_dist,Fe-O177_dist,Fe-O178_dist,Fe-O179_dist,Fe-O180_dist,Fe-O181_dist,Fe-O182_dist,Fe-O183_dist,Fe-O184_dist,Fe-O185_dist,Fe-O186_dist,Fe-O187_dist,Fe-O188_dist,Fe-O189_dist,Fe-O190_dist,Fe-O191_dist,Fe-O192_dist,Fe-O193_dist,Fe-O194_dist,Fe-N94_dist,Fe-N95_dist,Fe-N96_dist,Fe-N97_dist,cn_fe_n,fe_n_mean,fe_n_min,fe_n_std,cn_fe_o,fe_o_mean,fe_o_min,fe_o_std,shell1_count,shell2_count,shell3_count,shell1_mean,shell1_min,shell1_std,fe_out_of_plane
2024-01-01 0:00,9.067842112,6.829558163,7.382166835,7.317424857,7.760430679,6.731654557,6.659448942,4.521929991,4.885223419,2.961286769,5.87966277,6.454891219,5.581501644,5.267433527,8.204782524,10.13248725,9.382188229,13.01990985,10.33455434,9.667920493,9.811719076,13.78621551,8.372258195,7.008821368,12.1163995,9.519554324,8.549769244,14.34613462,7.784017157,12.00202977,2.163925639,2.129950038,2.231936237,2.145802542,2.164775463,2.226667226,0,2.192295367,2.145802542,0.037655515,2,7.988534145,2.129950038,3.043580339,3,0,2,2.418387482,2.129950038,0.384138267,1.010064619
2024-01-01 0:00,9.074025503,6.827857671,7.384057421,7.316176615,7.760365282,6.731764685,6.661150541,4.530837653,4.898500862,2.957425003,5.880074604,6.451376563,5.585690033,5.269105536,8.21515291,10.13291764,9.37635668,13.02192666,10.33420541,9.665603723,9.811804467,13.78983076,8.370479155,7.009686505,12.11868277,9.52309786,8.555018005,14.34362425,7.784288939,12.00581528,2.154301605,2.116999081,2.237480016,2.145467549,2.16530878,2.234751505,0,2.195751962,2.145467549,0.040980192,2,7.989318739,2.116999081,3.044735742,3,0,2,2.40957523,2.116999081,0.387687503,0.992708617
2024-01-01 0:00,9.079848663,6.826395714,7.385792844,7.315172411,7.761142306,6.731684994,6.663120889,4.538025723,4.911400766,2.953130034,5.881009748,6.44814521,5.590135012,5.270518227,8.224872836,10.13323886,9.369689449,13.02394029,10.33362113,9.661661811,9.811740599,13.79321674,8.368276501,7.009787772,12.12074864,9.52653145,8.559890845,14.34086909,7.7844493,12.00928565,2.143512776,2.10328407,2.242139597,2.145792711,2.166295919,2.242350613,0,2.19914471,2.145792711,0.043705804,2,7.989816886,2.10328407,3.045982935,3,0,2,2.399975627,2.10328407,0.391483874,0.972833989
2024-01-01 0:00,9.085299622,6.825159618,7.38736877,7.314226501,7.76271335,6.731232511,6.665458482,4.543729118,4.923836856,2.947951776,5.882440234,6.445488744,5.594690028,5.27168114,8.233118884,10.13340522,9.362413612,13.02593244,10.33273501,9.656430378,9.811674055,13.7964376,8.365610282,7.009317768,12.12249981,9.529721372,8.564382445,14.33788375,7.784505382,12.01218377,2.131736593,2.089142238,2.245866392,2.146750013,2.167755361,2.24917967,0,2.202387859,2.146750013,0.045757066,2,7.99001273,2.089142238,3.047302475,3,0,2,2.389610202,2.089142238,0.395189874,0.950429749
2024-01-01 0:00,9.090403372,6.82408366,7.388771623,7.313112038,7.764846646,6.730312646,6.668226906,4.548324809,4.935819866,2.941543792,5.884205813,6.443577326,5.599191867,5.272637119,8.239300737,10.13339609,9.354820421,13.02781391,10.33156513,9.650519878,9.811727795,13.79950477,8.362492033,7.008496835,12.1238072,9.532517981,8.568542505,14.33466017,7.78442052,12.01426705,2.119085213,2.074814916,2.248693884,2.148281708,2.169689291,2.255025364,0,2.205422562,2.148281708,0.047103049,2,7.989900333,2.074814916,3.048675662,3,0,2,2.378481307,2.074814916,0.398555296,0.925574922
2024-01-01 0:00,9.095212104,6.823079753,7.389984458,7.311599696,7.76712253,6.728936868,6.671435177,4.552252214,4.947430121,2.933849389,5.88603407,6.442460241,5.603468489,5.273456559,8.243336121,10.13321624,9.347230363,13.02945675,10.33022047,9.644576919,9.811971792,13.80237694,8.358993616,7.007521607,12.1245341,9.534791049,8.57248634,14.33118614,7.784141213,12.01534707,2.105643082,2.060490249,2.250718939,2.150319987,2.172073899,2.25976708,0,2.208219976,2.150319987,0.047755139,2,7.989495054,2.060490249,3.050075076,3,0,2,2.366660907,2.060490249,0.401486218,0.898455563
2024-01-01 0:00,9.099792959,6.822054972,7.390993374,7.309492264,7.768971478,6.727214593,6.675035868,4.555984574,4.958786949,2.925198902,5.88759032,6.442069931,5.607346162,5.274218141,8.245676736,10.13288494,9.339965507,13.03072521,10.32886065,9.639126353,9.812413894,13.80497713,8.355242639,7.006520606,12.12458377,9.536478918,8.576386314,14.32745976,7.783612935,12.01534188,2.091491002,2.046317978,2.252090644,2.152809912,2.174847972,2.263400705,0,2.210787308,2.152809912,0.047768058,2,7.988838022,2.046317978,3.051462413,3,0,2,2.35433596,2.046317978,0.404082107,0.869405392
2024-01-01 0:00,9.104213276,6.820926857,7.391791607,7.306676009,7.769771869,6.725331188,6.678940104,4.559982005,4.970017932,2.916227223,5.888558133,6.442233104,5.610685934,5.274984981,8.247083661,10.13242987,9.333302543,13.0315033,10.32764867,9.63452113,9.813001046,13.80721859,8.351407475,7.00552917,12.12396915,9.537623654,8.5804346,14.3234932,7.782792425,12.0143326,2.076708829,2.032402166,2.252987236,2.155733497,2.177906186,2.266019902,0,2.213161705,2.155733497,0.047225556,2,7.987991947,2.032402166,3.052798321,3,0,2,2.341779406,2.032402166,0.406598484,0.838953382
2024-01-01 0:00,9.108532965,6.819627427,7.392383187,7.303160842,7.769003972,6.723525616,6.68304102,4.56463171,4.981244941,2.90766552,5.888709258,6.442679745,5.613433433,5.27578427,8.248360855,10.13188675,9.327430864,13.03171634,10.32671755,9.630953547,9.813640175,13.80902575,8.347679509,7.004496693,12.12285336,9.538369721,8.58478391,14.31931494,7.781653816,12.01259004,2.06137503,2.018783459,2.25360841,2.159139187,2.181120197,2.267803488,0,2.21541782,2.159139187,0.046223346,2,7.987033006,2.018783459,3.054057054,3,0,2,2.32927467,2.018783459,0.409353549,0.807850869
2024-01-01 0:00,9.112792621,6.818115068,7.392790409,7.299106829,7.766463594,6.722050667,6.687232252,4.570119315,4.992546622,2.900140994,5.887969861,6.443067959,5.615654748,5.276588266,8.250156608,10.13129658,9.322407697,13.03135659,10.32615431,9.628475324,9.814229731,13.81035783,8.344249399,7.00332354,12.12152818,9.538917117,8.589476262,14.31497331,7.780202793,12.01054726,2.045584277,2.005418823,2.254158192,2.163136384,2.184378509,2.26897864,0,2.217662931,2.163136384,0.044850315,2,7.986040464,2.005418823,3.055238501,3,0,2,2.317048031,2.005418823,0.412634922,0.777091065
