Step,cn_fe_n,fe_n_mean,fe_n_min,fe_n_std,cn_fe_o,fe_o_mean,fe_o_min,fe_o_std,shell1_count,shell2_count,shell3_count,shell1_mean,shell1_min,shell1_std,fe_out_of_plane
1,0,2.177287984843586,2.1771241861482737,0.00011684430300317025,2,7.96602484860704,2.1631367422358543,3.035714333650009,2,1,2,2.163251362545278,2.1631367422358543,0.00011462030942355206,1.0906600039559997
2,0,2.1761892006402888,2.1731649339702024,0.002094461755518693,2,7.96956309278567,2.1646781023639545,3.0368764401380206,2,1,2,2.1667774856250603,2.1646781023639545,0.002099383261105814,1.0853618673006966
3,0,2.1756802190121802,2.1688905397283063,0.0049027791512728115,2,7.972755071012211,2.165901404193718,3.0378971747396784,2,1,2,2.1698547551357183,2.165901404193718,0.003953350942000222,1.0803842253914266
4,0,2.175803148042851,2.1646046251374065,0.0083127249930413,2,7.975635656710587,2.1667011161551315,3.0387394907252454,3,0,2,2.447582180923176,2.1667011161551315,0.3892373677430514,1.0754211544539973
5,0,2.1765854465931818,2.160492509730648,0.012197147391412142,2,7.978242178679744,2.1668589692803475,3.03940303153576,3,0,2,2.4465924344549337,2.1668589692803475,0.38539045815322803,1.070100769151091
6,0,2.1780236593430575,2.1567207101383037,0.016414951289174175,2,7.980599698029113,2.165990468314239,3.039932345635357,3,0,2,2.4449145799127403,2.165990468314239,0.3821534891943956,1.0640308149690574
7,0,2.1800697679354837,2.153406695230445,0.02082539033308876,2,7.98271391847366,2.1635226819102393,3.0404168235060105,3,0,2,2.4422943862264517,2.1635226819102393,0.3798736582240584,1.0568231015813505
8,0,2.182637696388466,2.150622477274058,0.025289976611929405,2,7.984571713577726,2.158809152496558,3.0409656165528207,3,0,2,2.4384118752209734,2.158809152496558,0.3788862267608372,1.0481215784396747
9,0,2.1856162202954774,2.148410199593874,0.02967300395356116,2,7.986159455637215,2.1514636812449752,3.041665827655664,3,0,2,2.4330562428640357,2.1514636812449752,0.3793702636616839,1.0376026652498465
10,0,2.18887919496461,2.1467962045140805,0.03384035663020038,2,7.987478564079433,2.141650860541379,3.042545567946818,3,0,2,2.426292525949872,2.141650860541379,0.38122733755430027,1.0249874987650476
11,0,2.1922953668822096,2.145802542337225,0.03765551450294072,2,7.988534144557198,2.1299500377676712,3.0435803385328217,3,0,2,2.4183874821022653,2.1299500377676712,0.3841382671727363,1.0100646188687348
12,0,2.1957519624846786,2.1454675488066393,0.04098019158584094,2,7.989318739158911,2.1169990814133692,3.044735742214382,3,0,2,2.409575229970024,2.1169990814133692,0.38768750309873284,0.9927086169246893
13,0,2.1991447099469887,2.145792710711176,0.04370580431364886,2,7.989816886235254,2.1032840701660147,3.045982934908151,3,0,2,2.39997562675091,2.1032840701660147,0.39148387448844296,0.9728339890523146
14,0,2.2023878588797676,2.1467500131701502,0.04575706555583913,2,7.9900127297589405,2.089142237720717,3.047302475272723,3,0,2,2.3896102023218204,2.089142237720717,0.3951898737030921,0.9504297486651578
15,0,2.205422561614159,2.148281707891381,0.047103049488934505,2,7.989900332599205,2.0748149156715545,3.0486756619040767,3,0,2,2.378481306945593,2.0748149156715545,0.3985552964871859,0.9255749223664967
16,0,2.2082199761271792,2.1503199869299405,0.04775513934071647,2,7.989495054111068,2.0604902493925894,3.05007507617887,3,0,2,2.3666609067331894,2.0604902493925894,0.4014862183213157,0.8984555634160103
17,0,2.210787308230331,2.1528099115406407,0.047768058064899935,2,7.9888380223394275,2.0463179775600358,3.051462412553194,3,0,2,2.3543359603948293,2.0463179775600358,0.4040821069366026,0.8694053923314797
18,0,2.213161705365696,2.155733497325938,0.04722555606490092,2,7.987991946700502,2.03240216556678,3.052798321390058,3,0,2,2.3417794058842403,2.03240216556678,0.4065984840867946,0.8389533822294887
19,0,2.2154178203380184,2.1591391867055774,0.04622334588656316,2,7.98703300639515,2.0187834594576834,3.054057054343941,3,0,2,2.32927466975172,2.0187834594576834,0.4093535491865605,0.807850869217678
20,0,2.217662931259783,2.16313638392264,0.044850315297443315,2,7.986040464040468,2.005418822514167,3.055238501052405,3,0,2,2.3170480311102146,2.005418822514167,0.412634922012109,0.7770910651895564
