Step,Fe-N94_dist,Fe-N95_dist,Fe-N96_dist,Fe-N97_dist
86,1.982994102125147,1.9686918204666835,2.285882074560442,2.021472070423371
87,1.995063017486276,1.957311028533433,2.273328244844084,2.0242977862706133
88,2.006894822804781,1.945757384622108,2.2598949943745184,2.0264651854895894
89,2.018286153359137,1.9341865313536468,2.245706165029575,2.027815798487462
90,2.0290928034562743,1.9227785012622507,2.23088009681186,2.028210461368701
91,2.0392298523829053,1.9117285807420408,2.215522573929767,2.027533103272942
92,2.0486618727049755,1.9012706725381743,2.199719494875106,2.025721617480433
93,2.057415646303213,1.8916321203099533,2.1835642547178633,2.022739672443168
94,2.0655530886301032,1.883022489186605,2.1671458800032104,2.0185993087142413
95,2.0731563072016423,1.8756149499787107,2.150565214149,2.0133735909393846
96,2.0803116903334806,1.8695056539111141,2.1339430664702013,2.0071820399644302
97,2.087108206916944,1.8647161012387612,2.1174305382706264,2.000190242184371
98,2.0936349875270492,1.8612037536922026,2.1011717542153026,1.9925919642336327
99,2.099968405019212,1.8588750434183352,2.0852378694142737,1.984600445895694
100,2.106169177884384,1.8576300568712387,2.069600419059877,1.9764389845663088
101,2.112282287702551,1.857379166159002,2.0541551322215827,1.9683272942787287
102,2.1183219630288237,1.8580538753734257,2.03877325052283,1.9604905311720895
103,2.12428515889482,1.8596103187921007,2.0233660253342958,1.9531367775920294
104,2.1301489176429813,1.8620207908150876,2.007898737904768,1.9464503466259593
105,2.135872156958043,1.8652699544849118,1.9923975949809412,1.9405788353583089
106,2.1414024285065305,1.8693565985046348,1.9769525338151426,1.9356373961782276
107,2.1466747592665123,1.8742824778326255,1.9617071961177577,1.9316998883687904
108,2.151612534911127,1.8800384361233045,1.9468439666835005,1.9287963282875653
109,2.156145525454039,1.8866107682808817,1.9325966466940956,1.92691654766481
110,2.1602113849633215,1.8939678155684843,1.9192369773570068,1.9260090274257398
111,2.163763177461116,1.90205166461897,1.9070743937066104,1.9259805094737659
112,2.1667886691066327,1.910827547967339,1.8965516589663864,1.926205616142961
113,2.169288250284616,1.9201457832173034,1.888011958024199,1.9270438943262078
114,2.1712619631368653,1.9298662432333582,1.8819592763171165,1.9283536632000036
115,2.172745929529733,1.9398132835233994,1.8789303000319517,1.9299834856280516
116,2.173801876102394,1.9497722562881876,1.879444991612711,1.9317828780233133
117,2.174492034326171,1.9594904065884962,1.8838692379819684,1.933624630754253
118,2.1748671691913404,1.9686943836689244,1.8922880037078396,1.9354110401982676
119,2.174967305262302,1.9771170147094783,1.904415182833144,1.9370829380763899
120,2.174821859122456,1.984517605498541,1.9196524867909692,1.9386152522332005
121,2.1744379642207523,1.9906930397269875,1.9372411146994555,1.9400304779338475
122,2.1736908743477166,1.9956086817263896,1.9560647558968627,1.9413458592368256
123,2.172539232711486,1.999234462554604,1.975443226635893,1.9427486234284077
124,2.1708258939495217,2.0014761771492657,1.994656279709714,1.9442153024247262
125,2.1687228570958776,2.002060054786023,2.013330181077737,1.9459848761395548
126,2.166193769583935,2.00098159738831,2.030919384287686,1.9482066403621567
127,2.163202146601342,1.9982980378780455,2.0469577067614324,1.9510335548131454
128,2.1597185843385094,1.994129335190457,2.0610785080752,1.9546115770095709
129,2.1557293784799567,1.988660372861863,2.0730287820241133,1.9590776014834812
130,2.15124494531817,1.982132545682901,2.0826813013596297,1.964549525764753
131,2.146315001961589,1.974828531584471,2.090054204811872,1.971121308924067
132,2.141038562302432,1.9670531892601144,2.0953113348700243,1.9788698044016833
133,2.135530856775212,1.959073499241482,2.0987568169945967,1.9878295324549475
134,2.1299376047142875,1.9511236419633298,2.100837192974462,1.9980009929991582
135,2.1244269028064946,1.9434064497608217,2.1021119872863596,2.009342981105363
136,2.1191812077938934,1.9361098139138628,2.1031261913047343,2.021775861219738
137,2.114381178844302,1.9294133178788437,2.1042642812226706,2.0351835203475517
138,2.110197447338756,1.9234869169729831,2.105627315837772,2.0494151307388875
139,2.106781884810394,1.918480626814878,2.1070668858661077,2.0642847077132043
140,2.104265342290102,1.9145258108910659,2.1083755257610624,2.079583480287333
141,2.102750604794167,1.9117239197060627,2.1094107019470996,2.0950814837190594
142,2.1019739423446144,1.9100796681412329,2.1101924229808833,2.1103614451418413
143,2.1022935100579665,1.9096631058696436,2.1106888777127515,2.1253377221824845
144,2.103734856577867,1.9105127470526861,2.1109528215767943,2.1398037284532703
145,2.1062751668655353,1.9126192506704378,2.1110686229364295,2.1535430457780755
146,2.109862713121685,1.9159565461512147,2.1111289801034157,2.1663489570710905
147,2.1144241404164035,1.920489826115563,2.1112190997377662,2.178024574145756
148,2.119861253983883,1.9261580264369504,2.1114111823835144,2.1883750165211455
149,2.1260593230759266,1.9328788389997311,2.111763011164188,2.197220762393708
150,2.1328906094307434,1.9405277650818114,2.1123067036155145,2.204400230003966
151,2.1402224267179126,1.94892145365264,2.113035779477847,2.2097747280817157
152,2.1479209607147522,1.9577898407256575,2.1138873164906116,2.213227678775465
153,2.1558660996377,1.9667880351322178,2.1147312766361526,2.2146809437967114
154,2.1639534651987926,1.9755122553363105,2.115359315761935,2.214094364203443
155,2.1721047679755885,1.9835497753093847,2.115534331336377,2.2114739243994976
156,2.180261184838375,1.9905349250983198,2.1150775815754796,2.2068732401328504
157,2.188388789799224,1.9961940362887418,2.1139206684265637,2.2003950173874256
158,2.1964669686977425,2.000372622357289,2.1120734430100843,2.1921835665878113
159,2.204481308473247,2.003039975969682,2.109557283125102,2.182409678620128
160,2.212418610324605,2.0042741302443288,2.106390623022218,2.17126322277945
161,2.220264602517326,2.004245000840318,2.1025958125808106,2.1589499585292415
162,2.2280009697528182,2.003195068335766,2.0982200103315605,2.1456871383788787
163,2.2355840657870485,2.001408748304724,2.0933361896559295,2.131696798539441
164,2.2429516649950463,1.999200357497161,2.0880451855834967,2.1172033051446597
165,2.25001320872697,1.9968911985587725,2.082460504813294,2.1024244262523877
166,2.2566541442793753,1.9947968487864314,2.0767120993542805,2.0875742733366764
167,2.262738413145327,1.993194817344526,2.070926009478007,2.0728522183630314
